Church Name,County,Denomination,Location
Abbeville,Abbeville,A.R.P.,
Abbeville,Abbeville,Southern Baptist,
Abbeville,Abbeville,Congregational Holiness,
Abbeville,Abbeville,Pentecostal Holiness,
Abbeville,Abbeville,Presbyterian,
Allen Chapel,Abbeville,A.M.E.,
Bell's Chapel,Abbeville,M.E.,
Bethel,Abbeville,M.E.,
Bethia,Abbeville,Presbyterian,
Bethlehem,Abbeville,A.R.P.,
Beulah,Abbeville,Southern Baptist,
Broadmouth,Abbeville,S.B.C.,
Brownah A.M.E. Calhoun Falls,Abbeville,A.M.E.,
Calhoun Falls,Abbeville,Methodist,
Calhoun Falls,Abbeville,Presbyterian,
Campfield,Abbeville,Negro Baptist,
Cedar Springs,Abbeville,A.R.P.,
Abbeville,Abbeville,Church of God,
"Church of God, Abbeville",Abbeville,Church of God,
Clear Spring,Abbeville,A.M.E.,
Cypress Chapel,Abbeville,A.M.E.,
Donalds,Abbeville,S.B.C.,
Donalds,Abbeville,M.E.S.,
Donalds,Abbeville,Presbyterian,
Due West,Abbeville,A.R.P.,
Due West,Abbeville,S.B.C.,
Ebenezer,Abbeville,M.E.,
Fairfield,Abbeville,Negro Baptist,
"First S.B.C., Abbeville",Abbeville,S.B.C.,
Flatrock,Abbeville,A.M.E.,
Forksville,Abbeville,Negro Baptist Church of Christ,
Friendship,Abbeville,Negro Baptist,
Gilgal,Abbeville,M.E.S.,
Grace Chapel,Abbeville,A.M.E.,
Grace,Abbeville,M.E.S.,
Jacob Chapel,Abbeville,A.M.E.,
John's Creek,Abbeville,Negro Baptist,
Keowee,Abbeville,S.B.C.,
Lebanon,Abbeville,Presbyterian,
Little Mountain,Abbeville,A.M.E.,
Little Mountain,Abbeville,Presbyterian,
Little River,Abbeville,S.B.C.,
Little Rock Buffalo,Abbeville,Negro Baptist,
Long Cane,Abbeville,A.M.E.,
Lowndesville,Abbeville,S.B.C.,
Main Street,Abbeville,M.E.S.,
Midway,Abbeville,S.B.C.,
Moor's Chapel,Abbeville,Fire Baptism Holiness Church of God of America (Negro),
Mt. Calvary,Abbeville,Negro Baptist,
Mt. Canaan,Abbeville,Negro Baptist,
Mt. Clement,Abbeville,Negro M.E.,
Mt. Lebanon,Abbeville,A.M.E.,
Mt. Olive,Abbeville,A.M.E.,
Mt. Olive,Abbeville,Negro Baptist,
Mt. Pleasant,Abbeville,Negro Baptist,
Mt. Zion,Abbeville,A.M.E.,
Mt. Zion,Abbeville,Presbyterian (Negro),
Mulberry,Abbeville,A.M.E.,
Pleasant Grove,Abbeville,A.M.E.,
Poplar Grove,Abbeville,Negro Baptist,
Providence,Abbeville,Presbyterian,
Rocky River,Abbeville,Presbyterian,
Rocky River,Abbeville,S.B.C.,
St. James,Abbeville,A.M.E.,
