church_id,name_of_church,year_organized,county,denomination,property_value,present_membership,charter_membership,city_id
1,Assembly of God,1936,Spartanburg,Assembly of God ,,,,1
2,Chesnee Mill,1928,Spartanburg,Southern Baptist Convention,,,,2
3,Shell Anderson Memorial,1933,Spartanburg,Methodist Episcopal South,,,,3
4,Whitney,1888,Spartanburg,Methodist Episcopal South,,,,4
5,Duncan,1875,Spartanburg,Southern Baptist Convention,,,,5
6,Grace Methodist,1896,Abbeville,Methodist Episcopal South,,,,24
7,Tucapau Wesleyan Methodist,1917,Spartanburg,Wesleyan Methodist,,,,7
8,Pentecostal Holiness Tabernacle,1935,Spartanburg,Pentecostal Holiness,,,,19
9,Saxon Methodist,1901,Spartanburg,Methodist Episcopal South,,,,9
10,Lyman Methodist,1924,Spartanburg,Methodist Episcopal South,,,,10
11,First Baptist Clifton,1881,Spartanburg,Southern Baptist Convention,,,,11
12,Glendale Baptist,1876,Spartanburg,Southern Baptist Convention,,,,1
13,Montgomery Memorial Methodist Episcopal,1883,Spartanburg,Methodist Episcopal South,,,,12
14,Duncan Memorial,1888,Spartanburg,Methodist Episcopal South,,,,1
15,Saxon Church of God,1928,Spartanburg,Church of God,,,,9
16,Olivet Foursquare Gospel,1930,Spartanburg,International Four Square Gospel,,,,13
17,Apalache,1906,Spartanburg,Southern Baptist Convention,,,,14
18,Whitney Baptist,1889,Spartanburg,Southern Baptist Convention,,,,4
19,Drayton Methodist,1905,Spartanburg,Methodist Episcopal South,,,,1
20,Valley Falls Baptist,1920,Spartanburg,Southern Baptist Convention,,,,15
21,Beaumont,1905,Spartanburg,Southern Baptist Convention,,,,1
22,Calhoun Falls Methodist,1908,Abbeville,Methodist Episcopal South,,,,16
23,Fairmont Baptist,1895,Spartanburg,Southern Baptist Convention,,,,17
24,Tucapau Baptist,1893,Spartanburg,Southern Baptist Convention,,,,7
25,Pacolet Mills Pentecostal Holiness,1935,Spartanburg,Pentecostal Holiness,,,,12
26,Church of God,1936,Spartanburg,Pentecostal Holiness,2000,,18,18
27,Cole Chapel,12/28/08,Spartanburg,Free Will Baptist,,,,19
28,Converse Methodist,1896,Spartanburg,Methodist Episcopal South,3500,87,18,20
29,Cowpens Mills (formerly Central),1901,Spartanburg,Southern Baptist Convention,2000,132,30,21
30,Gospel First,1936,Spartanburg,First Assembly of God,,,,1
31,Inman Mills,11/15/25,Spartanburg,Methodist Episcopal South,16000,227,41,22
32,Ligon Memorial Baptist,1907,Spartanburg,Southern Baptist Convention,25000,635,58,19
33,Montgomery Chapel,1923,Spartanburg,National Baptist,1500,40,,23
34,Pacolet Mills Baptist,1884,Spartanburg,Southern Baptist Convention,"60,000",,,12
35,The Ch. Of God,2/3/38,Abbeville,"Church of God (of which A.J. Tomlinson is overseer, Cleavland, Tenn.)",,15,13,24
36,Tucapau M. E.,1894,Spartanburg,Methodist Episcopal South,"6,000",,,7
37,Whitney Free Will,1921,Spartanburg,Free Will Baptist,3000,71,15,4
38,Orrville Methodist,Oct-00,Anderson,Methodist Episcopal South,"15,000",250,12,25
39,Orrville Baptist,1900,Anderson,Southern Baptist Convention,23500,430,NA,25
