city_id,city_name,county,state
001,Spartanburg,Spartanburg,SC
002,Chesnee,Spartanburg,SC
003,Jackson Mill,Spartanburg,SC
004,Whitney Mill Village,Spartanburg,SC
005,1/4 mile east of Duncan,Spartanburg,SC
006,Abbeville,Abbeville,SC
007,Tucapau Mill Village,Spartanburg,SC
008,Arcadia Mill Village,Spartanburg,SC
009,Saxon Mill Village,Spartanburg,SC
010,Lyman Mill Village,Spartanburg,SC
011,Clifton Mill Village,Spartanburg,SC
012,Pacolet Mill Village,Spartanburg,SC
013,Beaumont Mill Village,Spartanburg,SC
014,Apalache Mill,Spartanburg,SC
015,Valley Falls Mill Village,Spartanburg,SC
016,Calhoun Falls,Abbeville,SC
017,"Fairmont Mill Village, no st no",Spartanburg,SC
018,Brandon Mill,Spartanburg,SC
019,Arcadia Mill Village,Spartanburg,SC
020,Converse Mill,Spartanburg,SC
021,Cowpens,Spartanburg,SC
022,Inman,Spartanburg,SC
023,Maysville,Spartanburg,SC
024,Abbeville,Abbeville,SC
025,Anderson,Anderson,SC
026,Belton,Anderson,SC
027,Honea Path,Anderson,SC
028,Pendleton,Anderson,SC
029,La France,Anderson,SC
030,Williamston,Anderson,SC
031,Piedmont,Anderson,SC
032,Pelzer,Anderson,SC
033,West Pelzer,Anderson,SC
034,Iva,Anderson,SC
