church_id,name_of_church,denomination,date_organized,city_name,street_address,county,state,sourceid,worker.name,wpa.number,mill_relation,church_origin,mill_id,property_value,present_membership,charter_members,"African,American",budget,outcome_id,avg.current.attendance,latitude,longitude,outcome.source,outcome_notes,notes
wpasptbg135,Assembly of God ,Assembly of God ,1936,Spartanburg,Corner Wofford and Wolfe St,Spartanburg,SC,,Lina Lanning,135,0,1,,,,,,,,,,,,,
wpasptbg107,Chesnee Mill,Southern Baptist Convention,1928,Chesnee,Hwy 221 - Chesnee Mill Village,Spartanburg,SC,,Jean Taylor,107,3,0,,,,,,,,,,,,,
wpa_shellanderson_sptbg,Shell Anderson Memorial,Methodist Episcopal South,1933,Jackson Mill,st not named,Spartanburg,SC,,Jean Taylor,173,1,0,,,,,,,,,,,,,
wpa_whitneymes_sptbg,Whitney,Methodist Episcopal South,1888,Whitney Mill Village,Main St,Spartanburg,SC,,Jean Taylor,1,5,2,,,,,,,,,,,,,
,Duncan,Southern Baptist Convention,1875,1/4 mile east of Duncan,on county rd,Spartanburg,SC,,,,6,0,,,,,,,,,,,,,
,Grace Methodist,Methodist Episcopal South,1896,Abbeville,corner south main and brooks streets,Abbeville,SC,,,,7,0,,,,,,,,,,,,,
,Tucapau Wesleyan Methodist,Wesleyan Methodist,1917,Tucapau Mill Village,Pine St,Spartanburg,SC,,,,2,0,,,,,,,,,,,,,
,Pentecostal Holiness Tabernacle,Pentecostal Holiness,1935,Arcadia Mill Village,county home rd 1.5 north of Arcadia Mill Village,Spartanburg,SC,,,,8,1,,,,,,,,,,,,,
,Saxon Methodist,Methodist Episcopal South,1901,Saxon Mill Village,Front Street,Spartanburg,SC,,,,5,0,,,,,,,,,,,,,
,Lyman Methodist,Methodist Episcopal South,1924,Lyman Mill Village,corner of Grace and Community Streets,Spartanburg,SC,,,,2,2,,,,,,,,,,,,,
,First Baptist Clifton,Southern Baptist Convention,1881,Clifton Mill Village,High Street,Spartanburg,SC,,,,2,0,,,,,,,,,,,,,
,Glendale Baptist,Southern Baptist Convention,1876,Spartanburg,corner of Church and Clifton St,Spartanburg,SC,,,,2,0,,,,,,,,,,,,,
,Montgomery Memorial Methodist Episcopal,Methodist Episcopal South,1883,Pacolet Mill Village,Main St,Spartanburg,SC,,,,3,2,,,,,,,,,,,,,
,Duncan Memorial,Methodist Episcopal South,1888,Spartanburg,Farley Avenue,Spartanburg,SC,,,,6,0,,,,,,,,,,,,,
,Saxon Church of God,Church of God,1928,Saxon Mill Village,Fairforest Road,Spartanburg,SC,,,,6,1,,,,,,,,,,,,,
,Olivet Foursquare Gospel,International Four Square Gospel,1930,Beaumont Mill Village,Fairview Heights Community,Spartanburg,SC,,,,6,1,,,,,,,,,,,,,
,Apalache,Southern Baptist Convention,1906,Apalache Mill,Odgen Cove,Spartanburg,SC,,,,3,0,,,,,,,,,,,,,
,Whitney Baptist,Southern Baptist Convention,1889,Whitney Mill Village,Main St,Spartanburg,SC,,,,3,2,,,,,,,,,,,,,
,Drayton Methodist,Methodist Episcopal South,1905,Spartanburg,corner of Drayton + Britton St,Spartanburg,SC,,,,2,3,,,,,,,,,,,,,
,Valley Falls Baptist,Southern Baptist Convention,1920,Valley Falls Mill Village,stree not numbered,Spartanburg,SC,,,,6,3,,,,,,,,,,,,,
,Beaumont,Southern Baptist Convention,1905,Spartanburg,717 N. Liberty St,Spartanburg,SC,,,,6,0,,,,,,,,,,,,,
